id,name,image
647,Sticker | Team EnVyUs | Cologne 2015,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/cologne2015/envyus_large.d784e189d585254bf8bf4d617d73a3944bf9aa8a.png
648,Sticker | Team EnVyUs (Foil) | Cologne 2015,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/cologne2015/envyus_foil_large.878194b0a511b756d49186c30992daefdcbde762.png
649,Sticker | Team EnVyUs (Gold) | Cologne 2015,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/cologne2015/envyus_gold_large.5d51baa0b087600f3136089cd8fa2c81f8fd5318.png
950,Sticker | Team EnVyUs | Cluj-Napoca 2015,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/cluj2015/nv_large.63cb2f608bd4ed2ce4f5ce47172d921bb1f6308d.png
951,Sticker | Team EnVyUs (Foil) | Cluj-Napoca 2015,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/cluj2015/nv_foil_large.1fe9a20cd0dc7dde498549b3efff17cbc31ca9ad.png
952,Sticker | Team EnVyUs (Gold) | Cluj-Napoca 2015,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/cluj2015/nv_gold_large.768659fa77d343c4b7899d3b218c365fa7281691.png
1059,Sticker | Team EnVyUs | MLG Columbus 2016,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/columbus2016/nv_large.027e54cf4c2a1c3c8f865d013518e8474fc347d5.png
1060,Sticker | Team EnVyUs (Holo) | MLG Columbus 2016,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/columbus2016/nv_holo_large.37d4aeda54eefc5a48e3a90f91cf3b53ebecbf07.png
1061,Sticker | Team EnVyUs (Foil) | MLG Columbus 2016,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/columbus2016/nv_foil_large.c1553ddfed52a428212e366bcce67d7e66a832a9.png
1062,Sticker | Team EnVyUs (Gold) | MLG Columbus 2016,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/columbus2016/nv_gold_large.3db2e33bcf008aae5c06ae04cd5e1979d75ae1d3.png
